id	rate
18179	3.6
18181	3.9
18183	4.0
19001	3.4
19003	2.9
19005	4.9
19007	5.7
19009	3.7
19011	4.0
19013	5.8
19015	3.4
19017	4.2
19019	4.6
19021	4.4
19023	4.5
19025	4.7
19027	3.1
19029	3.0
19031	3.8
19033	4.4
19035	4.1
19037	4.6
19039	3.4
19041	4.1
19043	4.2
19045	6.1
19047	5.2
19049	3.2
19051	5.3
19053	3.5
19055	3.7
19057	5.9
19059	3.5
19061	4.0
19063	4.2
19065	5.0
19067	3.9
19069	3.8
19071	4.1
19073	4.3
19075	3.7
19077	3.6
19079	4.0
19081	3.0
19083	4.2
19085	3.7
19087	4.4
19089	3.6
19091	3.2
19093	2.8
19095	3.2
19097	4.5
19099	4.0
19101	4.6
19103	3.2
19105	4.4
19107	5.1
19109	3.0
19111	8.1
19113	4.3
19115	4.5
19117	3.8
19119	2.3
19121	3.7
19123	4.3
19125	3.4
19127	4.9
19129	4.0
19131	3.0
19133	4.6
19135	5.4
19137	4.2
19139	4.4
19141	3.0
19143	3.1
19145	6.4
19147	3.9
19149	2.9
19151	3.4
19153	4.1
19155	3.8
19157	4.0
19159	3.7
19161	3.0
19163	5.4
19165	3.2
19167	2.4
19169	2.9
19171	4.2
19173	3.9
19175	4.4
19177	4.9
19179	7.4
19181	3.8
19183	3.5
19185	4.6
19187	4.7
19189	4.1
19191	3.6
19193	4.2
19195	3.5
19197	4.5
20001	6.9
20003	4.6
20005	7.4
20007	4.4
20009	5.0
20011	5.7
20013	4.2
20015	4.6
20017	4.6
20019	5.9
20021	5.2
20023	3.3
20025	3.0
20027	4.8
20029	5.1
20031	8.2
20033	3.2
20035	5.1
20037	5.4
20039	4.7
20041	4.7
20043	4.7
20045	4.1
20047	3.3
20049	6.8
20051	3.4
20053	4.3
20055	3.5
20057	3.6
20059	4.8
20061	6.4
20063	3.0
20065	5.0
20067	3.9
20069	2.6
20071	2.7
20073	5.7
20075	3.2
20077	4.0
20079	6.3
20081	2.8
20083	2.7
20085	4.0
20087	4.1
20089	4.5
20091	3.7
20093	3.7
20095	4.8
20097	3.5
20099	6.2
