Zip Code,Month,Year,Power
90077,6,2007,1666
90094,6,2007,363
90210,6,2007,1971
90211,6,2007,0
90212,6,2007,484
90213,6,2007,0
90230,6,2007,355
90232,6,2007,267
90245,6,2007,497
90247,6,2007,359
90077,7,2007,1968
90094,7,2007,321
90210,7,2007,2199
90211,7,2007,0
90212,7,2007,565
90213,7,2007,0
90230,7,2007,367
90232,7,2007,275
90245,7,2007,511
90247,7,2007,377
90077,8,2007,1948
90094,8,2007,372
90210,8,2007,2240
90211,8,2007,0
90212,8,2007,584
90213,8,2007,0
90230,8,2007,372
90232,8,2007,299
90245,8,2007,503
90247,8,2007,403
90077,9,2007,1859
90094,9,2007,341
90210,9,2007,2160
90211,9,2007,0
90212,9,2007,579
90213,9,2007,0
90230,9,2007,360
90232,9,2007,289
90245,9,2007,475
90247,9,2007,374
90077,10,2007,1862
90094,10,2007,320
90210,10,2007,2078
90211,10,2007,0
90212,10,2007,625
90213,10,2007,0
90230,10,2007,366
90232,10,2007,259
90245,10,2007,461
90247,10,2007,357
90077,11,2007,1728
90094,11,2007,324
90210,11,2007,1926
90211,11,2007,0
90212,11,2007,590
90213,11,2007,0
90230,11,2007,357
90232,11,2007,249
90245,11,2007,442
90247,11,2007,367
90077,12,2007,1789
90094,12,2007,361
90210,12,2007,2039
90211,12,2007,0
90212,12,2007,700
90213,12,2007,0
90230,12,2007,447
90232,12,2007,319
90245,12,2007,434
90247,12,2007,424
90077,1,2008,1775
90094,1,2008,364
90210,1,2008,2066
90211,1,2008,0
90212,1,2008,728
90213,1,2008,0
90230,1,2008,445
90232,1,2008,327
90245,1,2008,425
90247,1,2008,418
90077,2,2008,1623
90094,2,2008,358
90210,2,2008,1857
90211,2,2008,0
90212,2,2008,605
90213,2,2008,0
90230,2,2008,371
90232,2,2008,281
90245,2,2008,364
90247,2,2008,373
90077,3,2008,1642
90094,3,2008,376
90210,3,2008,1904
90211,3,2008,0
90212,3,2008,617
90213,3,2008,0
90230,3,2008,396
90232,3,2008,297
90245,3,2008,394
90247,3,2008,390
90077,4,2008,1610
90094,4,2008,335
90210,4,2008,1865
90211,4,2008,0
90212,4,2008,599
90213,4,2008,0
90230,4,2008,333
90232,4,2008,252
90245,4,2008,405
90247,4,2008,350
90077,5,2008,1732
90094,5,2008,362
90210,5,2008,1935
90211,5,2008,0
90212,5,2008,637
90213,5,2008,0
90230,5,2008,345
90232,5,2008,255
90245,5,2008,413
90247,5,2008,365
90077,6,2008,1757
90094,6,2008,379
90210,6,2008,2087
90211,6,2008,0
90212,6,2008,675
90213,6,2008,0
90230,6,2008,355
90232,6,2008,285
90245,6,2008,386
90247,6,2008,361
90077,7,2008,1985
90094,7,2008,396
90210,7,2008,2383
90211,7,2008,0
90212,7,2008,727
90213,7,2008,0
90230,7,2008,368
90232,7,2008,291
90245,7,2008,390
90247,7,2008,378
90077,8,2008,1982
90094,8,2008,437
90210,8,2008,2356
90211,8,2008,0
90212,8,2008,717
90213,8,2008,0
90230,8,2008,380
90232,8,2008,306
90245,8,2008,362
90247,8,2008,390
90077,9,2008,1908
90094,9,2008,417
90210,9,2008,2241
90211,9,2008,0
90212,9,2008,674
90213,9,2008,0
90230,9,2008,367
90232,9,2008,297
90245,9,2008,352
90247,9,2008,370
90077,10,2008,1903
90094,10,2008,409
90210,10,2008,2153
90211,10,2008,0
90212,10,2008,648
90213,10,2008,0
90230,10,2008,373
90232,10,2008,278
90245,10,2008,369
90247,10,2008,367
90077,11,2008,1728
90094,11,2008,391
90210,11,2008,1961
90211,11,2008,0
90212,11,2008,611
90213,11,2008,0
90230,11,2008,362
90232,11,2008,267
90245,11,2008,369
90247,11,2008,373
90077,12,2008,1764
90094,12,2008,396
90210,12,2008,2031
90211,12,2008,0
90212,12,2008,668
90213,12,2008,0
90230,12,2008,426
90232,12,2008,282
90245,12,2008,430
90247,12,2008,424
90077,1,2009,1724
90094,1,2009,388
90210,1,2009,2049
90211,1,2009,0
90212,1,2009,667
90213,1,2009,0
90230,1,2009,426
90232,1,2009,282
90245,1,2009,427
90247,1,2009,414
90077,2,2009,1538
90094,2,2009,332
90210,2,2009,1794
90211,2,2009,0
90212,2,2009,613
90213,2,2009,0
90230,2,2009,346
90232,2,2009,243
90245,2,2009,369
90247,2,2009,347
90077,3,2009,1626
90094,3,2009,367
90210,3,2009,1885
90211,3,2009,0
90212,3,2009,675
90213,3,2009,0
90230,3,2009,383
90232,3,2009,265
90245,3,2009,402
90247,3,2009,378
90077,4,2009,1565
90094,4,2009,356
90210,4,2009,1794
90211,4,2009,0
90212,4,2009,572
90213,4,2009,0
90230,4,2009,336
90232,4,2009,238
90245,4,2009,355
90247,4,2009,346
90077,5,2009,1605
90094,5,2009,372
90210,5,2009,1827
90211,5,2009,0
90212,5,2009,541
90213,5,2009,0
90230,5,2009,347
90232,5,2009,245
90245,5,2009,403
90247,5,2009,357
90077,6,2009,1639
90094,6,2009,371
90210,6,2009,1927
90211,6,2009,0
90212,6,2009,550
90213,6,2009,0
90230,6,2009,346
90232,6,2009,253
90245,6,2009,571
90247,6,2009,345
90077,7,2009,1870
90094,7,2009,401
90210,7,2009,2184
90211,7,2009,0
90212,7,2009,592
90213,7,2009,0
90230,7,2009,356
90232,7,2009,265
90245,7,2009,572
90247,7,2009,371
90077,8,2009,1914
90094,8,2009,454
90210,8,2009,2260
90211,8,2009,0
90212,8,2009,636
90213,8,2009,0
90230,8,2009,381
90232,8,2009,304
90245,8,2009,509
90247,8,2009,402
90077,9,2009,1913
90094,9,2009,424
90210,9,2009,2227
90211,9,2009,0
90212,9,2009,640
90213,9,2009,0
90230,9,2009,367
90232,9,2009,298
90245,9,2009,474
90247,9,2009,378
90077,10,2009,1877
90094,10,2009,399
90210,10,2009,2109
90211,10,2009,0
90212,10,2009,638
90213,10,2009,0
90230,10,2009,356
90232,10,2009,249
90245,10,2009,428
90247,10,2009,363
90077,11,2009,1652
90094,11,2009,384
90210,11,2009,1905
90211,11,2009,0
90212,11,2009,592
90213,11,2009,0
90230,11,2009,345
90232,11,2009,239
90245,11,2009,411
90247,11,2009,368
90077,12,2009,1696
90094,12,2009,391
90210,12,2009,1947
90211,12,2009,0
90212,12,2009,641
90213,12,2009,0
90230,12,2009,429
90232,12,2009,286
90245,12,2009,411
90247,12,2009,417
90077,1,2010,1669
90094,1,2010,389
90210,1,2010,1919
90211,1,2010,0
90212,1,2010,654
90213,1,2010,0
90230,1,2010,431
90232,1,2010,293
90245,1,2010,414
90247,1,2010,410
90077,2,2010,1488
90094,2,2010,343
90210,2,2010,1706
90211,2,2010,0
90212,2,2010,536
90213,2,2010,0
90230,2,2010,333
90232,2,2010,226
90245,2,2010,395
90247,2,2010,347
90077,3,2010,1577
90094,3,2010,372
90210,3,2010,1830
90211,3,2010,0
90212,3,2010,564
90213,3,2010,0
90230,3,2010,366
90232,3,2010,244
90245,3,2010,437
90247,3,2010,375
90077,4,2010,1501
90094,4,2010,342
90210,4,2010,1741
90211,4,2010,0
90212,4,2010,519
90213,4,2010,0
90230,4,2010,330
90232,4,2010,233
90245,4,2010,423
90247,4,2010,332
90077,5,2010,1500
90094,5,2010,359
90210,5,2010,1775
90211,5,2010,0
90212,5,2010,513
90213,5,2010,0
90230,5,2010,341
90232,5,2010,241
90245,5,2010,433
90247,5,2010,347
90077,6,2010,1501
90094,6,2010,358
90210,6,2010,1791
90211,6,2010,0
90212,6,2010,495
90213,6,2010,0
90230,6,2010,332
90232,6,2010,236
90245,6,2010,405
90247,6,2010,345
90077,7,2010,1659
90094,7,2010,350
90210,7,2010,1926
90211,7,2010,0
90212,7,2010,543
90213,7,2010,0
90230,7,2010,344
90232,7,2010,242
90245,7,2010,387
90247,7,2010,354
90077,8,2010,1733
90094,8,2010,358
90210,8,2010,2047
90211,8,2010,0
90212,8,2010,557
90213,8,2010,0
90230,8,2010,345
90232,8,2010,253
90245,8,2010,223
90247,8,2010,350
90077,9,2010,1794
90094,9,2010,364
90210,9,2010,2078
90211,9,2010,0
90212,9,2010,524
90213,9,2010,0
90230,9,2010,336
90232,9,2010,247
90245,9,2010,215
90247,9,2010,342
90077,10,2010,1796
90094,10,2010,393
90210,10,2010,2041
90211,10,2010,0
90212,10,2010,575
90213,10,2010,0
90230,10,2010,368
90232,10,2010,261
90245,10,2010,218
90247,10,2010,362
90077,11,2010,1634
90094,11,2010,383
90210,11,2010,1871
90211,11,2010,0
90212,11,2010,568
90213,11,2010,0
90230,11,2010,356
90232,11,2010,254
90245,11,2010,234
90247,11,2010,369
90077,12,2010,1676
90094,12,2010,402
90210,12,2010,1937
90211,12,2010,0
90212,12,2010,631
90213,12,2010,0
90230,12,2010,425
90232,12,2010,277
90245,12,2010,318
90247,12,2010,416
90077,1,2011,1652
90094,1,2011,393
90210,1,2011,1944
90211,1,2011,0
90212,1,2011,650
90213,1,2011,0
90230,1,2011,424
90232,1,2011,278
90245,1,2011,319
90247,1,2011,410
90077,2,2011,1484
90094,2,2011,337
90210,2,2011,1722
90211,2,2011,0
90212,2,2011,554
90213,2,2011,0
90230,2,2011,349
90232,2,2011,232
90245,2,2011,293
90247,2,2011,349
90077,3,2011,1622
90094,3,2011,371
90210,3,2011,1860
90211,3,2011,0
90212,3,2011,612
90213,3,2011,0
90230,3,2011,385
90232,3,2011,258
90245,3,2011,369
90247,3,2011,375
90077,4,2011,1534
90094,4,2011,347
90210,4,2011,1754
90211,4,2011,0
90212,4,2011,535
90213,4,2011,0
90230,4,2011,336
90232,4,2011,230
90245,4,2011,541
90247,4,2011,331
90077,5,2011,1507
90094,5,2011,369
90210,5,2011,1765
90211,5,2011,0
90212,5,2011,519
90213,5,2011,0
90230,5,2011,347
90232,5,2011,234
90245,5,2011,536
90247,5,2011,348
90077,6,2011,1537
90094,6,2011,368
90210,6,2011,1804
90211,6,2011,0
90212,6,2011,513
90213,6,2011,0
90230,6,2011,330
90232,6,2011,223
90245,6,2011,440
90247,6,2011,349
90077,7,2011,1741
90094,7,2011,368
90210,7,2011,1999
90211,7,2011,0
90212,7,2011,552
90213,7,2011,0
90230,7,2011,339
90232,7,2011,227
90245,7,2011,0
90247,7,2011,359
90077,8,2011,1760
90094,8,2011,384
90210,8,2011,2067
90211,8,2011,0
90212,8,2011,567
90213,8,2011,0
90230,8,2011,342
90232,8,2011,247
90245,8,2011,0
90247,8,2011,354
90077,9,2011,1726
90094,9,2011,381
90210,9,2011,2051
90211,9,2011,0
90212,9,2011,565
90213,9,2011,0
90230,9,2011,332
90232,9,2011,240
90245,9,2011,0
90247,9,2011,340
90077,10,2011,1733
90094,10,2011,398
90210,10,2011,2029
90211,10,2011,0
90212,10,2011,629
90213,10,2011,0
90230,10,2011,358
90232,10,2011,235
90245,10,2011,0
90247,10,2011,345
90077,11,2011,1594
90094,11,2011,382
90210,11,2011,1902
90211,11,2011,0
90212,11,2011,593
90213,11,2011,0
90230,11,2011,347
90232,11,2011,230
90245,11,2011,0
90247,11,2011,357
90077,12,2011,1636
90094,12,2011,391
90210,12,2011,1954
90211,12,2011,0
90212,12,2011,669
90213,12,2011,0
90230,12,2011,426
90232,12,2011,262
90245,12,2011,0
90247,12,2011,423
90077,1,2012,1605
90094,1,2012,393
90210,1,2012,1934
90211,1,2012,0
90212,1,2012,682
90213,1,2012,0
90230,1,2012,426
90232,1,2012,267
90245,1,2012,0
90247,1,2012,413
90077,2,2012,1488
90094,2,2012,372
90210,2,2012,1746
90211,2,2012,0
90212,2,2012,603
90213,2,2012,0
90230,2,2012,361
90232,2,2012,233
90245,2,2012,0
90247,2,2012,352
90077,3,2012,1587
90094,3,2012,388
90210,3,2012,1809
90211,3,2012,0
90212,3,2012,629
90213,3,2012,0
90230,3,2012,382
90232,3,2012,249
90245,3,2012,0
90247,3,2012,367
90077,4,2012,1491
90094,4,2012,354
90210,4,2012,1720
90211,4,2012,0
90212,4,2012,566
90213,4,2012,0
90230,4,2012,315
90232,4,2012,215
90245,4,2012,0
90247,4,2012,330
90077,5,2012,1459
90094,5,2012,373
90210,5,2012,1735
90211,5,2012,0
90212,5,2012,568
90213,5,2012,0
90230,5,2012,327
90232,5,2012,220
90245,5,2012,0
90247,5,2012,344
90077,6,2012,1538
90094,6,2012,374
90210,6,2012,1843
90211,6,2012,0
90212,6,2012,592
90213,6,2012,0
90230,6,2012,343
90232,6,2012,231
90245,6,2012,0
90247,6,2012,337
90077,7,2012,1843
90094,7,2012,407
90210,7,2012,2102
90211,7,2012,0
90212,7,2012,629
90213,7,2012,0
90230,7,2012,356
90232,7,2012,239
90245,7,2012,0
90247,7,2012,361
90077,8,2012,1944
90094,8,2012,457
90210,8,2012,2295
90211,8,2012,0
90212,8,2012,751
90213,8,2012,0
90230,8,2012,368
90232,8,2012,280
90245,8,2012,0
90247,8,2012,391
90077,9,2012,1998
90094,9,2012,427
90210,9,2012,2313
90211,9,2012,0
90212,9,2012,755
90213,9,2012,0
90230,9,2012,355
90232,9,2012,272
90245,9,2012,0
90247,9,2012,366
90077,10,2012,1902
90094,10,2012,414
90210,10,2012,2130
90211,10,2012,0
90212,10,2012,647
90213,10,2012,0
90230,10,2012,358
90232,10,2012,250
90245,10,2012,0
90247,10,2012,357
90077,11,2012,1616
90094,11,2012,397
90210,11,2012,1867
90211,11,2012,0
90212,11,2012,602
90213,11,2012,0
90230,11,2012,349
90232,11,2012,241
90245,11,2012,0
90247,11,2012,364
90247,6,2012,339
90077,12,2012,1665
90094,12,2012,407
90210,12,2012,1963
90211,12,2012,0
90212,12,2012,706
90213,12,2012,0
90230,12,2012,432
90232,12,2012,271
90245,12,2012,0
90247,12,2012,413
90077,1,2013,1652
90094,1,2013,396
90210,1,2013,2002
90211,1,2013,0
90212,1,2013,713
90213,1,2013,0
90230,1,2013,430
90232,1,2013,271
90245,1,2013,0
90247,1,2013,402
90077,2,2013,1449
90094,2,2013,330
90210,2,2013,1672
90211,2,2013,0
90212,2,2013,562
90213,2,2013,0
90230,2,2013,334
90232,2,2013,214
90245,2,2013,0
90247,2,2013,337
90077,3,2013,1481
90094,3,2013,361
90210,3,2013,1701
90211,3,2013,0
90212,3,2013,550
90213,3,2013,0
90230,3,2013,366
90232,3,2013,230
90245,3,2013,0
90247,3,2013,361
90077,4,2013,1456
90094,4,2013,340
90210,4,2013,1675
90211,4,2013,0
90212,4,2013,549
90213,4,2013,0
90230,4,2013,321
90232,4,2013,209
90245,4,2013,0
90247,4,2013,321
90077,5,2013,1566
90094,5,2013,370
90210,5,2013,1774
90211,5,2013,0
90212,5,2013,591
90213,5,2013,0
90230,5,2013,332
90232,5,2013,216
90245,5,2013,0
90247,5,2013,337
90077,6,2013,1563
90094,6,2013,387
90210,6,2013,1832
90211,6,2013,0
90212,6,2013,613
90213,6,2013,0
90230,6,2013,328
90232,6,2013,225
90245,6,2013,0
